INDEX,CONTENT содержимое,COMMENT отзыв ,RATING оценка,REMARK замечания
11,"Курсовая работа посвящена разработке системы для управления и мониторинга работы сети в режиме 
реального времени. Основной целью создания данной системы является решение задач мониторинга 
сети и управления ее работой. Система предназначена для использования в сетевых структурах, где 
необходимо отслеживать состояние отдельных узлов сети, а также для наблюдения за работой сети в целом.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «хорошо».,Существенных замечаний по работе нет.
12,"ВКР посвящена проектированию и разработке автоматизированной системы управления предприятием по 
производству пластиковых окон. Целью выпускной квалификационной работы является разработка 
программного обеспечения для автоматизации производства пластиковых окон на предприятии.","Выполненная работа полностью не соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент не достоин звания дипломированного бакалавра.",Оценка «Плохо».,"Замечание по работе:
1. Не соотвествует требованиям."
13,"ВКР посвящена проектированию и разработке систем контроля и управления процессами фильтрации воды 
на примере двух скважин. В первой скважине за счет изменения режимов работы фильтра происходит 
регулировка водообмена, во второй скважине – регулирование производительности. Целью работы 
является разработка и изготовление устройств, предназначенных для автоматизации и управления 
режимами работы фильтрующих элементов.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Замечаний по работе нет.
14,"ВКР посвящена проектированию и разработке программного обеспечения для управления и автоматизации 
процессов производства сельскохозяйственной продукции. Целью выпускной квалификационной работы 
является разработка программного продукта для автоматизированного управления процессами производства 
в сельскохозяйственном предприятии.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «хорошо».,Существенных замечаний по работе нет.
15,"Выпускная квалификационная работа посвящена разработке программного обеспечения для реализации 
системы дистанционного обучения, которая позволяет проводить видеоконференцию. 
Целью работы является разработка программного продукта, который позволит организовать видеосвязь с 
помощью персонального компьютера.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Рекомендуемая оценка «удовлетворительно».,"Замечание по работе:
1. Неправильно построен алгоритм обработки сообщений.
2. Некорректно работает обработка ошибок."
16,"Курсовая работа посвящена веб разработке системы для проведения вебинаров.
В системе реализовано несколько режимов работы, имеется возможность загрузки всех видов файлов.
Так же реализована возможность отправки сообщений и сохранения их внутри системы.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «хорошо».,Существенных замечаний по работе нет.
17,"Курсовая работа посвящена веб разработке системы для управления складом. Система предназначена для 
автоматизации всех процессов, связанных с хранением товара. В будущем могут быть реализованы все 
остальные процессы склада: прием, комплектация, разгрузка, отгрузка. 
Автоматизация склада позволит обеспечить оперативный учет и контроль за работой склада.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Оценка «отлично».,Замечаний по работе нет.
18,"Курсовая работа посвящена проектированию и разработке программного обеспечения для 
автоматического перевода с русского на английский, испанский, немецкий и японский язык. Целью работы 
является разработка программного продукта для автоматической обработки текста на русском языке.","Выполненная работа полностью соответствует требованиям, предъявляемым к курсовой 
работе.",Рекомендуемая оценка «удовлетворительно».,"Замечания по работе:
1. Разработанная информационная система не отвечает всем 
требованиям, сформулированным в работе.
2. Имеются недочеты по оформлению работы."
19,"ВКР посвящена проектированию и разработке программного обеспечения автоматизации процесса 
изготовления деталей. В рамках работы была разработана система, которая позволяет 
в режиме реального времени отслеживать процесс изготовления детали. Система представляет собой 
веб-приложение с графическим интерфейсом, обеспечивающим доступ к данным по детали, хранящимся в 
базе данных, и к информации о процессе изготовления.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Существенных замечаний по работе нет.
20,"ВКР посвящена проектированию и разработке программного обеспечения автоматизации учета кадров в 
организации. В ходе выполнения работы были разработаны программные модули, которые позволяют 
автоматизировать учет кадров, учет рабочего времени и учет отпусков. Выполнена постановка задачи.
Выполнен системный анализ. Выявлены функциональные требования к системе.","Выполненная работа полностью соответствует требованиям, предъявляемым к выпускной 
квалификационной работе, студент достоин звания дипломированного бакалавра.",Оценка «отлично».,Существенных замечаний по работе нет.
